JOURNAL NAME;AREA
Nanotoxicology ; engineering
Therapeutische Umschau ; social
Crop Breeding and Applied Biotechnology ; bio
International Journal of Technology and Human Interaction ; social
Trends in Neurosciences ; brain
Perspectives in Drug Discovery and Design ; chem
IEEE Transactions on Reliability ; social
Journal of Arts Management Law and Society ; social
Journal of Dermatological Science Supplement ; medical
Islam and Christian-muslim Relations ; social
Medicine Health Care and Philosophy ; health
Journal of Asian Architecture and Building Engineering ; social
Journal of Research in International Education ; social
Canadian Journal of Physiology and Pharmacology ; medical
Pharmacology ; medical
Topics in Language Disorders ; social
Revista De Calidad Asistencial ; health
Bulletin of The World Health Organization ; diseases
Journal of Asthma ; medical
Organometallics ; chem
Tempo ; humanities
Journal of Hepato-biliary-pancreatic Surgery ; medical
Regional Anesthesia and Pain Medicine ; medical
Tribotest ; engineering
Lecture Notes in Economics and Mathematical Systems ; social
Gynecologie Obstetrique & Fertilite ; medical
Sleep ; brain
Academic Pediatrics ; health
Journal of Dermatology ; medical
Deep Sea Research Part A. Oceanographic Research Papers ; earth
Mobilities ; social
Pharmacological Reports ; health
Asian Journal of Clinical Nutrition ; health
Suchttherapie ; health
International Journal of Research in Marketing ; social
Journal of Community Psychology ; social
Corrosion ; engineering
Journal of Physics: Conference Series ; mathphysics
European Journal of Social Theory ; social
Ethology Ecology & Evolution ; bio
The Journal of Allergy and Clinical Immunology ; medical
Computational Complexity ; mathphysics
Accounting Horizons ; social
Deutsche Lebensmittel-rundschau ; chem
Aids, Supplement ; diseases
Development and Psychopathology ; social
Nurse Leader ; health
Coloproctology ; medical
Atmospheric Research ; earth
Mediators of Inflammation ; medical
Hong Kong Journal of Nephrology ; health
Journal of Adolescent Health ; social
High Energy Density Physics ; mathphysics
International Journal of Social Psychiatry ; health
Forest Pathology ; bio
Urban Policy and Research ; social
Annals of Surgical Innovation and Research ; medical
Nonprofit and Voluntary Sector Quarterly ; social
Journal of Neuroimmunology ; brain
Revista Iberoamericana De Automatica E Informatica Industrial ; eecs
Rheumatic Diseases Clinics of North America ; medical
Critical Reviews in Food Science and Nutrition ; chem
Journal of Canadian Petroleum Technology ; engineering
Studia Linguistica ; humanities
International Journal of Intelligent Systems ; eecs
Brain ; brain
Cell Stem Cell ; diseases
Scandinavian Journal of Primary Health Care ; health
Experimental and Clinical Psychopharmacology ; health
Research in Economics ; social
Renewable Agriculture and Food Systems ; engineering
Indian Journal of Palliative Care ; health
Research in Autism Spectrum Disorders ; social
Journal of The Economic and Social History of The Orient ; humanities
Journal of Applied Genetics ; bio
Indiana University Mathematics Journal ; mathphysics
BMC Oral Health ; health
Fish Physiology and Biochemistry ; bio
World Policy Journal ; social
Ratio ; humanities
Journal of Language Identity and Education ; social
African American Review ; humanities
Arthritis Research ; medical
La Chirurgia Degli Organi Di Movimento ; health
Journal of Biochemistry ; biotech
Journal of Thrombosis and Haemostasis ; medical
Journal of Management Development ; social
Physiology ; diseases
Archives of Physical Medicine and Rehabilitation ; brain
Indian Journal of Orthopaedics ; health
China Particuology ; engineering
Crustaceana ; bio
Ground Water ; engineering
Journal of Latin American Cultural Studies ; humanities
American Ethnologist ; social
in Practice ; diseases
Journal of Molecular and Cellular Cardiology ; medical
Plant Cell and Environment ; bio
California Agriculture ; bio
New Criminal Law Review ; social
Economic Bulletin ; social
Annual Review of Neuroscience ; brain
Computers in Education ; social
Ima Journal of Numerical Analysis ; mathphysics
Organization ; social
Texas Journal of Science ; bio
Central Asian Survey ; social
Journal of Interdisciplinary Economics ; social
Acta Ophthalmologica Scandinavica ; health
Monographs of The Society for Research in Child Development ; social
Ophthalmic Genetics ; medical
Marine Ecology Progress Series ; bio
Oikos ; bio
Review of Political Economy ; social
Documenta Mathematica ; mathphysics
The Kurume Medical Journal ; health
Theory and Decision ; social
Services Marketing Quarterly ; social
Computer Standards & Interfaces ; eecs
BMC Surgery ; medical
Essays in Criticism ; humanities
IEEE Transactions on Image Processing ; eecs
Technovation ; social
Journal of Tissue Engineering and Regenerative Medicine ; health
Cryptogamie Bryologie ; bio
European Radiology Supplements ; brain
Information and Organization ; social
Oceanography and Marine Biology ; bio
Ethical Theory and Moral Practice ; humanities
Ophthalmic Surgery Lasers & Imaging ; health
Nature Structural & Molecular Biology ; biotech
Research-technology Management ; social
Nutrition in Clinical Practice ; medical
Journal of Pediatric Urology ; mathphysics
Slavery & Abolition ; social
European Archives of Oto-rhino-laryngology ; brain
Philosophical Explorations ; humanities
The Historical Journal ; humanities
Cancer Prevention Research ; medical
Journal of Combinatorial Designs ; mathphysics
Seminars in Reproductive Medicine ; medical
International Journal of Steel Structures ; engineering
Minerva Medica ; health
Integrated Environmental Assessment and Management ; bio
Geographical Review ; social
Natural Product Reports ; chem
Global Public Health ; diseases
Acta Analytica-international Periodical for Philosophy in The Analytical Tradition ; humanities
Journal of Pediatric Orthopaedics B ; health
African Journal of Biotechnology ; bio
Informatics for Health & Social Care ; health
Sexualities ; social
Frontiers of Radiation Therapy and Oncology ; medical
Recent Patents on Cns Drug Discovery ; brain
Canadian Journal of Plastic Surgery ; health
China Agricultural Economic Review ; social
Educational Action Research ; social
Dynamics and Stability of Systems ; mathphysics
Information Processing Letters ; mathphysics
Energy Sources Part A-recovery Utilization and Environmental Effects ; engineering
Bioethics ; health
Blood Pressure Monitoring ; health
Development Southern Africa ; social
Annals of Applied Probability ; mathphysics
Control Engineering Practice ; eecs
Journal of Artificial Intelligence Research ; eecs
Pedagogy, Culture and Society ; social
Journal of Church and State ; social
Orthodontic Waves ; health
Acta Physiologica ; brain
Electro- and Magnetobiology ; health
Gynecologic Oncology ; medical
Hiv Clinical Trials ; medical
Acta Diabetologica ; medical
International Journal of Energy Research ; engineering
Accounting, Business and Financial History ; social
Journal of Geosciences ; earth
Pediatric Dentistry ; health
Journal of Applied Social Psychology ; social
International Journal of Public Health ; health
IEEE Transactions on Vehicular Technology ; eecs
Baltic Journal of Economics ; social
Transportmetrica ; engineering
Acta Biochimica et Biophysica Sinica ; medical
Statistical Papers ; social
Journal of Healthcare Risk Management ; health
Seminars in Integrative Medicine ; health
Journal of Japanese Studies ; humanities
Interactive Cardiovascular and Thoracic Surgery ; medical
Arabian Journal for Science and Engineering ; mathphysics
British Journal of Guidance & Counselling ; social
Italian Oral Surgery ; health
Journal of Workplace Learning ; social
IEEE Transactions on Aerospace and Electronic Systems ; engineering
Journal of Information Science ; eecs
Journal of General Internal Medicine ; health
International Journal of Fracture ; engineering
Cloning and Stem Cells ; medical
BMC Immunology ; diseases
University of Toronto Quarterly ; humanities
Modern Rheumatology ; medical
Journal of Ethology ; bio
Security Studies ; social
Cns Drug Reviews ; brain
Comprehensive Biochemistry ; biotech
Modern Language Review ; humanities
B E Journal of Theoretical Economics ; social
Journal De Gynecologie Obstetrique Et Biologie De La Reproduction ; medical
Revue Internationale De Philosophie ; humanities
Magnetic Resonance Imaging Clinics of North America ; brain
Journal of Applied Meteorology ; earth
October ; humanities
European Physical Journal A ; mathphysics
Trends in Molecular Medicine ; medical
International Psychogeriatrics ; brain
Journal of International Financial Markets, Institutions and Money ; social
Advances in Colloid and Interface Science ; chem
Ecosystem Health ; social
Nuclear Technology & Radiation Protection ; engineering
Sexuality and Disability ; medical
Journal of Creativity in Mental Health ; social
Health Services Management Research ; health
Lupus ; medical
Applied Soft Computing ; eecs
Journal of The American Association for Laboratory Animal Science ; diseases
Education and Training in Developmental Disabilities ; social
Journal of Emotional Abuse ; social
Journal of Policy Practice ; social
Agricultural Water Management ; engineering
International Journal of Offshore and Polar Engineering ; engineering
Annual Review of Economics ; social
International Journal of Public Policy ; health
Comptes Rendus Biologies ; bio
Psychiatry and Clinical Neurosciences ; brain
Journal of the European Mathematical Society ; mathphysics
Analyst ; chem
Lecture Notes in Mathematics ; mathphysics
Clinical Laboratory ; medical
Learning and Instruction ; social
Mathematical Models and Methods in Applied Sciences ; mathphysics
Periodica Mathematica Hungarica ; mathphysics
Cardiovascular Drugs and Therapy ; medical
Journal of Plant Interactions ; bio
Technical Services Quarterly ; eecs
Cultural Dynamics ; social
Journal of Biogeography ; bio
Journal of Risk and Insurance ; mathphysics
Pediatric Infectious Disease Journal ; diseases
American Journal of Medical Genetics ; medical
Journal of Financial Services Research ; social
Central European History ; humanities
International Sugar Journal ; bio
Journal of Empirical Finance ; social
The Economic History Review ; humanities
Nonlinear Analysis: Hybrid Systems ; eecs
Journal of Pediatric Orthopaedics ; health
Investigative Radiology ; brain
The Sociological Review ; social
Contraception ; medical
Current Eye Research ; medical
Landscape and Urban Planning ; bio
European Journal of Heart Failure ; medical
Journal of Infection ; medical
Order ; eecs
Electric Machines and Power Systems ; eecs
Environmental Health Perspectives ; interdiscipline
Microbiological Research ; diseases
Emergency Medicine Clinics of North America ; health
Information Fusion ; engineering
Croatica Chemica Acta ; chem
Monthly Review ; social
Psychoanalysis and Psychotherapy ; health
Biosocieties ; health
Culture, Medicine and Psychiatry ; social
Plant Biotechnology Journal ; bio
Journal of the American Medical Directors Association ; brain
Clinical Endocrinology ; medical
Contemporary Womens Writing ; humanities
Journal of Homeland Security and Emergency Management ; social
Basic and Applied Ecology ; bio
Polymer Reaction Engineering ; chem
IEEE Software ; eecs
Journal of Experimental Child Psychology ; social
Nature Cell Biology ; diseases
Contemporary Theatre Review ; humanities
Plant Foods for Human Nutrition ; chem
Critical Care Clinics ; medical
International Journal of Flexible Manufacturing Systems ; social
European Review of Economic History ; humanities
Tradition ; humanities
Current Sexual Health Reports ; medical
Oxford Journal of Legal Studies ; social
Educational Management Administration & Leadership ; social
Journal of Cell Science ; diseases
Thermophysics and Aeromechanics ; engineering
European Journal of Trauma and Emergency Surgery ; health
Energy Exploration & Exploitation ; engineering
Journal of Experimental & Clinical Assisted Reproduction ; medical
Indian Journal of Animal Sciences ; diseases
Neotropical Entomology ; bio
International Journal of Sediment Research ; earth
Journal of Statistical Planning and Inference ; social
Anesthesiology ; medical
International Journal of Entrepreneurship and Innovation Management ; social
Endocrine Pathology ; medical
Clinics in Family Practice ; brain
Early Music ; humanities
Astrophysics and Space Science ; mathphysics
Journal of Control Theory and Applications ; eecs
Seismological Research Letters ; earth
Advanced Functional Materials ; chem
International Journal of Rheumatic Diseases ; medical
Journal of Vector Borne Diseases ; bio
Annals of Finance ; social
Labour Economics ; social
Signal Transduction ; health
Experimental Mathematics ; mathphysics
Geostandards and Geoanalytical Research ; earth
Compost Science & Utilization ; engineering
Journal of Community and Applied Social Psychology ; social
Advances in Engineering Software ; engineering
Review of Income and Wealth ; social
Journal of Elementology ; engineering
Infrared Physics & Technology ; engineering
Free Radical Biology and Medicine ; health
Proteomics Clinical Applications ; biotech
Data Science Journal ; mathphysics
Applied Developmental Science ; social
European Cytokine Network ; diseases
Acta Orthopaedica et Traumatologica Turcica ; health
Circulation-cardiovascular Interventions ; medical
Evolution & Development ; medical
Earth and Planetary Science Letters ; earth
International Journal of Precision Engineering and Manufacturing ; engineering
Journal of Human Virology ; diseases
American Journal of Hematology ; medical
Impact Assessment and Project Appraisal ; social
Current Opinion in Microbiology ; diseases
Journal of Forensic Psychology Practice ; brain
Hydrogeology Journal ; earth
Nefrologia ; medical
Materials Research Innovations ; chem
African Health Sciences ; social
Agronomie ; bio
Journal of Applied Research in Intellectual Disabilities ; social
Current Molecular Medicine ; health
Acta Applicandae Mathematicae ; mathphysics
Physiotherapy ; brain
Oral Oncology Extra ; health
Foreign Language Annals ; social
Design Studies ; engineering
Journal of Applied Spectroscopy ; mathphysics
Optimization Methods & Software ; mathphysics
Life Sciences ; medical
Journal of Financial Intermediation ; social
Journal of Cardiac Surgery ; medical
Journal of Environmental Biology ; engineering
Behavioral and Cognitive Neuroscience Reviews ; brain
Revista Brasileira De Fisiologia Vegetal ; bio
Powder Metallurgy and Metal Ceramics ; engineering
International Migration ; social
Cardiovascular Therapeutics ; medical
Psychological Science ; brain
Journal of The World Aquaculture Society ; bio
Indian Journal of Virology ; diseases
Quality & Safety in Health Care ; health
Neuroquantology ; brain
Iet Science Measurement & Technology ; eecs
Maritime Policy & Management ; social
Physics and Chemistry of The Earth Part B-hydrology Oceans and Atmosphere ; earth
Journal of Experimental Psychology: Learning, Memory and Cognition ; brain
Zoologica Scripta ; bio
Journal of Automated Methods & Management in Chemistry ; medical
Sulfur Letters ; chem
European Journal of Pediatric Surgery ; medical
South African Journal of Surgery ; health
Numerische Mathematik ; mathphysics
International Journal of Imaging Systems and Technology ; eecs
Frontiers of Electrical and Electronic Engineering in China ; eecs
It Professional ; eecs
IEEE Transactions on Power Delivery ; eecs
Epistemologia ; humanities
Human Gene Therapy ; diseases
International Journal of Pharmacy Practice ; medical
European Journal of Purchasing & Supply Management ; social
Journal of Chemical Education ; social
Medical Image Analysis ; eecs
Acta Physiologica Hungarica ; health
Molecular Nutrition & Food Research ; chem
BMC Medical Genetics ; medical
Geografiska Annaler Series B-human Geography ; social
Spectroscopy Letters ; chem
Journal of Digital Forensic Practice ; eecs
Phase Transitions ; mathphysics
Fusion Engineering and Design ; mathphysics
Turkish Journal of Electrical Engineering and Computer Sciences ; eecs
International Journal of Continuing Engineering Education and Lifelong Learning ; social
Journal of Molecular Signaling ; medical
Ad Hoc & Sensor Wireless Networks ; eecs
Analog Integrated Circuits and Signal Processing ; eecs
Journal of Viral Hepatitis ; medical
Placenta ; medical
The Japanese Journal of Rehabilitation Medicine ; brain
Pediatric Nephrology ; health
Central European Journal of Medicine ; health
Iete Journal of Research ; eecs
Journal of Medical Biochemistry ; medical
International Journal of Advanced Media and Communication ; social
Siam Journal on Imaging Sciences ; eecs
International Review of Environmental and Resource Economics ; social
Metaphilosophy ; humanities
Attachment & Human Development ; social
Materials Science Forum ; engineering
Aphasiology ; brain
Multiphase Science and Technology ; engineering
Regional & Federal Studies ; social
Crop & Pasture Science ; bio
Korean Journal of Horticultural Science & Technology ; bio
Bt Technology Journal ; eecs
Acupuncture in Medicine ; health
Journal of Banking and Finance ; social
Journal of Access Services ; eecs
Hpb ; medical
Economic & Industrial Democracy ; social
Cornell Law Review ; social
Human Communication Research ; social
Theory Into Practice ; social
Journal of Real Estate Finance and Economics ; social
Lms Journal of Computation and Mathematics ; mathphysics
Political Studies ; social
Asian Journal of Technology Innovation ; social
Mens Sana Monographs ; medical
Biogenic Amines ; brain
Parasitology International ; bio
Applied Stochastic Models in Business and Industry ; social
Journal of Telemedicine and Telecare ; health
Journal of Family Practice ; health
Journal of Experimental Therapeutics and Oncology ; medical
Gesunde Pflanzen ; bio
Cardiovascular Engineering ; health
International Journal of Music Education ; social
Frontiers of Medicine in China ; medical
Veterinary and Comparative Oncology ; diseases
International Journal of Group Psychotherapy ; health
Bulletins of American Paleontology ; earth
Iranian Journal of Pediatrics ; medical
Annali di Matematica Pura ed Applicata ; mathphysics
Hand Clinics ; health
Advances in Cancer Research ; medical
Tumori ; medical
Fitopatologia Brasileira ; bio
Proceedings of The Japan Academy Series A-mathematical Sciences ; mathphysics
Michigan Historical Review ; humanities
Jornal Vascular Brasileiro ; medical
Family Process ; social
Seminars in Pediatric Surgery ; medical
Informs Journal on Computing ; social
Journal of Public Health Dentistry ; health
Plant Biotechnology Reports ; bio
Ironmaking & Steelmaking ; engineering
Boletin De Malariologia Y Salud Ambiental ; bio
Frontiers of Forestry in China ; bio
Cartography and Geographic Information Science ; earth
International Journal of Angiology ; medical
Georgian Mathematical Journal ; mathphysics
Journal of Experimental Psychology: Animal Behavior Processes ; brain
Developmental Neuropsychology ; social
The American Journal of Economics and Sociology ; social
Liver International ; medical
Diabetes Technology & Therapeutics ; medical
Meteoritics & Planetary Science ; earth
Russian Chemical Bulletin ; chem
Journal of Atmospheric and Oceanic Technology ; earth
Developments in Aquaculture and Fisheries Science ; bio
Journal of Marine Science and Application ; engineering
Catalysis Surveys From Asia ; chem
International Journal of Cardiology ; medical
Obesity Facts ; diseases
Aequationes Mathematicae ; mathphysics
Emc - Radiologie ; brain
Public Choice ; social
Itbm-rbm ; medical
Folia Morphologica ; health
Journal of Early Adolescence ; social
Pain Practice ; health
Journal of Clinical Child and Adolescent Psychology ; brain
Asian Journal of Communication ; social
Transition Studies Review ; social
European Diabetes Nursing ; medical
Neuroethics ; humanities
Seminars in Colon and Rectal Surgery ; medical
Journal of Applied Electrochemistry ; engineering
Journal of the Korean Astronomical Society ; mathphysics
Thesis Eleven ; social
Electromagnetics ; eecs
Mikologiya I Fitopatologiya ; bio
Organization Science ; social
Journal of Food Biochemistry ; chem
International Journal of Nanotechnology ; chem
Review of Research in Education ; social
Mineralogical Magazine ; earth
Clinical Orthopaedics and Related Research ; health
Cereal Chemistry ; chem
Progress in Energy and Combustion Science ; engineering
Middle Eastern Literatures ; social
Annals of Agricultural and Environmental Medicine ; diseases
Latin American Antiquity ; earth
Angiogenesis ; medical
Current Atherosclerosis Reports ; medical
Berichte Zur Wissenschaftsgeschichte ; humanities
Indian Journal of Human Genetics ; medical
Physics of Metals and Metallography ; engineering
IEEE Transactions on Engineering Management ; social
Semiconductors ; mathphysics
Clinical Simulation in Nursing ; health
Risk Analysis ; interdiscipline
IEEE Nanotechnology Magazine ; mathphysics
Abstract and Applied Analysis ; mathphysics
Surface Science ; mathphysics
Frontiers of Materials Science in China ; health
Discovery and Innovation ; bio
Psychological Reports ; social
New Directions for Youth Development ; health
Asian Biomedicine ; medical
Cancer Genetics and Cytogenetics ; diseases
International Journal of Nuclear Energy Science and Technology ; engineering
Journal of Hepatology ; medical
Bulletin De La Societe Geologique De France ; earth
Radiation Protection Dosimetry ; medical
International Journal of Computers for Mathematical Learning ; social
Nuclear Engineering and Technology ; engineering
Journal of Policy Modeling ; social
European Union Politics ; social
Journal of Reinforced Plastics and Composites ; engineering
Dermatologic Clinics ; medical
Polish Journal of Environmental Studies ; bio
American Journal of Rhinology ; health
Journal of Labor Economics ; social
Studia Logica ; eecs
Journal of Nutrition Health & Aging ; medical
Journal of European Studies ; social
Taiwanese Journal of Mathematics ; mathphysics
Machining Science and Technology ; engineering
International Reviews of Immunology ; diseases
International Journal of Offender Therapy and Comparative Criminology ; social
Romanian Agricultural Research ; bio
Journal of Sociology and Social Welfare ; social
Chirurgie De La Main ; health
Journal of The Polynesian Society ; social
Journal of Mathematical Biology ; bio
Clinics in Occupational and Environmental Medicine ; health
Journal of Cardiovascular Pharmacology and Therapeutics ; medical
Novum Testamentum ; humanities
Journal of African Cultural Studies ; social
Progress in Materials Science ; engineering
Journal of Inflammation ; diseases
Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering ; engineering
Journal of Chemical Sciences ; chem
Journal of Public Child Welfare ; social
Journal of Herbs, Spices & Medicinal Plants ; chem
Nanoscale ; chem
The International Journal of Developmental Biology ; medical
Nutrition Clinique Et Metabolisme ; medical
Brachytherapy ; medical
Gerontology & Geriatrics Education ; health
Journal of Avian Biology ; bio
Journal of The American Association of Gynecologic Laparoscopists ; medical
Biometric Technology Today ; engineering
Journal of Futures Studies ; social
The Journal of Wealth Management ; social
Medical Principles and Practice ; health
Mendeleev Communications ; chem
Anthropological Forum ; social
International Journal of Maritime Engineering ; engineering
Environmental Quality Management ; social
parallax ; humanities
Transplant Infectious Disease ; medical
Teaching of Psychology ; social
Refugee Survey Quarterly ; social
Journal of Generic Medicines ; health
Journal of Psycholinguistic Research ; brain
Journal of Jewish Thought & Philosophy ; humanities
cultural geographies ; social
Anuario De Estudios Americanos ; social
Osaka Journal of Mathematics ; mathphysics
International Journal of High Performance Computing and Networking ; eecs
Science Communication ; social
Human Movement ; health
Brain Tumor Pathology ; brain
Journal of Gastrointestinal and Liver Diseases ; medical
Sexuality and Culture ; medical
Applied Thermal Engineering ; engineering
Hallym International Journal of Aging ; health
Genetics and Molecular Research ; bio
Thalamus and Related Systems ; brain
Annales Chirurgiae Et Gynaecologiae ; medical
Geodinamica Acta ; earth
Transactions of The Institution of Mining and Metallurgy Section B-applied Earth Science ; earth
Journal for East European Management Studies ; social
History of Science ; humanities
Jaro-journal of The Association for Research in Otolaryngology ; brain
Pediatric Pathology & Molecular Medicine ; brain
Journal of the Association of Nurses in AIDS Care ; medical
Membrane Technology ; engineering
Journal of Surgical Education ; medical
Journal of Economic Geography ; social
Industry and Innovation ; social
Acta Botanica Gallica ; bio
South African Journal of Geology ; earth
Journal of Legal Education ; social
International Studies in Philosophy ; humanities
Contemporary Ob Gyn ; medical
International Journal of Hyperthermia ; medical
Pediatrics ; medical
Journal of Number Theory ; mathphysics
Chest ; medical
The American Statistician ; social
Neural Plasticity ; brain
Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule A-sciences De La Terre Et Des Planetes ; earth
Social Service Review ; social
Journal of Zhejiang University-science B ; eecs
Metalurgija ; engineering
Pakistan Journal of Medical Sciences ; medical
British Journal of Educational Studies ; social
Arms & Armour ; humanities
Journal of the American Geriatrics Society ; brain
Notfall & Rettungsmedizin ; health
American Journal of Transplantation ; medical
Review of Accounting Studies ; social
Entomologica Americana ; bio
Contemporary Music Review ; brain
Higher Education Policy ; social
Deutsche Medizinische Wochenschrift ; medical
Educational Research ; social
Trauma ; health
Journal of Canadian Studies-revue D Etudes Canadiennes ; social
Strain ; engineering
Journal of Infusion Nursing ; health
Journal of Fuel Chemistry and Technology ; chem
Bulletin of the Chemical Society of Japan ; chem
Emc - Stomatologie ; health
Harefuah ; medical
Culture, Health & Sexuality ; social
Sigmod Record ; eecs
Comptes Rendus Geoscience ; earth
Patient Education and Counseling ; social
Advances in Neonatal Care ; health
Journal of Musculoskeletal & Neuronal Interactions ; medical
International Journal of Automation and Computing ; eecs
Review of Social Economy ; social
Revista Brasileira De Politica Internacional ; social
Animal Nutrition and Feed Technology ; diseases
Information Visualization ; eecs
Farmacia Hospitalaria ; medical
Danish Medical Bulletin ; medical
Transportation Research Part F-traffic Psychology and Behaviour ; engineering
Psychology & Marketing ; social
International Journal of Adaptive Control and Signal Processing ; eecs
Fisheries Research ; bio
Science and Engineering of Composite Materials ; engineering
Emergency Medicine Australasia ; health
Microbios ; biotech
Journal of Cross-Cultural Psychology ; social
International Journal of Risk Assessment and Management ; social
Insurance Mathematics & Economics ; mathphysics
Cellular and Molecular Biology ; brain
Sports Medicine ; health
Spanish Journal of Psychology ; brain
Educational Assessment ; social
Crystal Engineering ; chem
Journal of Bodywork and Movement Therapies ; health
Applied Ergonomics ; eecs
Acadiensis ; humanities
Eurasip Journal on Bioinformatics and Systems Biology ; biotech
Scandinavian Journal of Surgery ; medical
Journal of International Money and Finance ; social
Aktuelle Rheumatologie ; medical
Archives of Pharmacal Research ; chem
Clinics in Dermatology ; medical
Archaeometry ; earth
Journal of Applied Biological Chemistry ; chem
Women & Criminal Justice ; social
Biochip Journal ; engineering
Journal of Coastal Conservation ; bio
Journal of The American Academy of Dermatology ; medical
Angelaki ; humanities
Facial Plastic Surgery ; health
Discrete Optimization ; social
The American Journal of the Medical Sciences ; medical
Journal of Black Studies ; social
Brazilian Dental Journal ; health
Journal of Fire Protection Engineering ; engineering
Perspectives on Global Development and Technology ; social
Northwestern University Law Review ; social
Experimental Techniques ; engineering
Reproductive Biomedicine Online ; medical
Journal of Gay and Lesbian Social Services ; social
International Journal for Numerical Methods in Fluids ; engineering
Review of Educational Research ; social
Human Genetics ; medical
Journal of Ichthyology ; bio
Journal of Palliative Care ; health
The International Trade Journal ; social
International Journal of Physical Distribution & Logistics Management ; social
Journal of Victorian Culture ; humanities
Plankton and Benthos Research ; bio
Bioorganic & Medicinal Chemistry Letters ; chem
Annales Francaises D Anesthesie Et De Reanimation ; medical
Current Problems in Pediatric and Adolescent Health Care ; health
Journal of Advanced Concrete Technology ; engineering
BMC Dermatology ; medical
Experimental Biology and Medicine ; medical
Journal of Aerospace Computing Information and Communication ; engineering
Progress of Theoretical Physics ; mathphysics
Family & Community Health ; health
International Journal of Logistics Systems and Management ; social
World Patent Information ; eecs
Psychology, Public Policy and Law ; brain
European Physical Journal C ; mathphysics
International Journal of Technology Management ; social
International Entrepreneurship and Management Journal ; social
Horticulture Environment and Biotechnology ; bio
International Journal of Wildland Fire ; earth
Archives of Andrology ; medical
Autoimmunity ; medical
Physical Therapy in Sport ; health
BMC Emergency Medicine ; health
Journal of Ocean University of China ; bio
Isegoria ; social
Controlled Clinical Trials ; social
Vigiliae Christianae ; humanities
Applied Geochemistry ; earth
Astrophysical Bulletin ; mathphysics
Journal of Eastern African Studies ; social
Plant Ecology & Diversity ; bio
Molecular Oncology ; diseases
Chinese Physics Letters ; mathphysics
Pediatric Hematology and Oncology ; diseases
Archivos Latinoamericanos De Nutricion ; health
Operative Dentistry ; health
International Journal of Sensor Networks ; eecs
Transactions of The Royal Society of South Africa ; bio
International Journal of Reliability, Quality and Safety Engineering ; social
Microwave and Optical Technology Letters ; eecs
European Journal of Cardio-Thoracic Surgery ; medical
BMC Veterinary Research ; diseases
Breast Care ; medical
Revista De Estudios Hispanicos ; humanities
Vine ; eecs
Current Rheumatology Reports ; medical
Acta Histochemica ; diseases
Iee Review ; eecs
Language Teaching Research ; social
Construction Management and Economics ; social
South Asian Studies ; social
IEEE Technology and Society Magazine ; social
Social Psychology Quarterly ; social
International Journal of Environmental Health Research ; social
Zeitschrift Fur Geburtshilfe Und Neonatologie ; medical
Journal of Accounting Education ; social
Empirical Economics ; social
Radiology and Oncology ; medical
Social Networks ; social
Journal of Engineering Design ; engineering
Revista De Investigacion Clinica ; medical
Oriental Insects ; bio
Ergonomics in Design ; eecs
Journal of Arid Environments ; bio
Sciences-new York ; social
International Planning Studies ; social
BMC Neuroscience ; brain
Clinical Dysmorphology ; medical
Economic Modelling ; social
Sociological Methodology ; social
Gut ; medical
Journal of Molecular Liquids ; engineering
Annals of Software Engineering ; eecs
Seminars in Orthodontics ; health
Journal of Renal Nutrition ; medical
Croatian Medical Journal ; health
Statistical Methods in Medical Research ; social
Mediterranean Politics ; social
Engineering & Technology ; eecs
Discourse ; social
Russian Journal of Genetics ; diseases
Tissue Engineering Part B-reviews ; health
Revista De Economia Aplicada ; social
Marine Geophysical Researches ; earth
Neuropsychiatric Disease and Treatment ; brain
Pediatric Neurology ; brain
BMC Nephrology ; medical
European Journal of Inorganic Chemistry ; chem
Journal of Pharmacy and Pharmacology ; health
Experimental Dermatology ; medical
Turkish Neurosurgery ; brain
Clinical and Experimental Ophthalmology ; medical
Journal of Musicological Research ; humanities
Turkish Journal of Mathematics ; mathphysics
Conradiana ; humanities
Diagnostic Molecular Pathology ; diseases
Aldrichimica Acta ; chem
Community Dental Health ; health
Zeitschrift Fur Gerontologie Und Geriatrie ; brain
Information Retrieval ; eecs
Artificial Intelligence in Medicine ; eecs
Pratique Medicale Et Chirurgicale De L Animal De Compagnie ; diseases
Intermetallics ; engineering
Clinical Cornerstone ; medical
Journal of the American Psychiatric Nurses Association ; health
The British Journal of Politics and International Relations ; social
Corrosion Reviews ; engineering
Labour History Review ; humanities
Rivista Di Storia Della Filosofia ; humanities
University of Chicago Law Review ; social
Materials Research Bulletin ; engineering
Journal of Family Psychotherapy ; social
Zygon ; humanities
Developmental Immunology ; diseases
Ethnic and Racial Studies ; social
Issues in Law & Medicine ; health
Pediatric Cardiology ; medical
Asian Population Studies ; social
Hrc-journal of High Resolution Chromatography ; chem
Australian and New Zealand Journal of Surgery ; health
Noise & Health ; earth
Cancers ; medical
Digestive Endoscopy ; medical
Journal of Water Supply Research and Technology-aqua ; engineering
Medical Immunology ; diseases
Journal of Photochemistry and Photobiology A-chemistry ; chem
Journal of Womens Health ; medical
Complementary Therapies in Nursing and Midwifery ; social
Russian Journal of Plant Physiology ; bio
International Journal of Web Information Systems ; social
Contemporary Political Theory ; social
Journal of Bone and Mineral Research ; medical
Geschichte Und Gesellschaft ; humanities
Bulletin of the Seismological Society of America ; earth
Educational Psychology ; social
